contact_id,season_year,tenure,percent_total_used,flash_profit_loss,renewed
134622,2014-2015,19,0.151162791,0.061627907,
126075,2014-2015,18,0.639534884,0,
8098319,2014-2015,5,0.904093023,-0.000192982,
2334658,2014-2015,4,0.523255814,0,
2349164,2014-2015,4,0.98255814,0,
141200,2014-2015,18,0.779069767,0,
7518975,2014-2015,3,0.627906977,0.078139535,
9257857,2014-2015,2,0.906976744,0,
141662,2014-2015,14,0.895348837,0,
8320890,2014-2015,3,0.965116279,0,
120839,2014-2015,19,0.593023256,0,
224620,2014-2015,12,0.755813953,0,
214918,2014-2015,12,1,0,
157256,2014-2015,14,0.843023256,0,
20284911,2014-2015,1,0.976744186,0,
105483,2014-2015,19,0.593023256,0,
135084,2014-2015,19,0.930232558,0,
482786,2014-2015,8,0.302325581,0,
138252,2014-2015,19,0.843023256,0,
108167,2014-2015,19,0.895348837,0,
12229108,2014-2015,1,0.802325581,0,
117649,2014-2015,19,0.819767442,0,
13439277,2014-2015,1,0.73255814,0,
1709243,2014-2015,5,0.220930233,-0.047028424,
137141,2014-2015,19,0.930232558,0,
149780,2014-2015,15,0.290697674,0,
9308421,2014-2015,2,0.011627907,0,
123105,2014-2015,19,0,0,
368498,2014-2015,10,0.395348837,-0.013595707,
23370014,2014-2015,1,0.930232558,0,
2549250,2014-2015,4,0.837209302,-0.007155635,
2398902,2014-2015,4,0.604651163,0.04686941,
485623,2014-2015,8,0.877906977,0,
6778399,2014-2015,6,0.88372093,0,
8098509,2014-2015,5,0.534883721,0,
23399888,2014-2015,1,0.837209302,0,
107474,2014-2015,19,0.430232558,0,
17854078,2014-2015,1,0.063953488,-0.004651163,
135238,2014-2015,19,0.813953488,0,
2392338,2014-2015,4,0.11627907,0.072093023,
104658,2014-2015,19,0.843023256,0,
220902,2014-2015,12,0.273255814,-0.140008945,
1708484,2014-2015,5,0.441860465,0,
101127,2014-2015,19,0.837209302,0,
2350436,2014-2015,4,0.75,0,
129023,2014-2015,18,0.895348837,0,
488346,2014-2015,8,0.825581395,0,
9353975,2014-2015,2,0.976744186,0,
474064,2014-2015,9,0.837209302,0,
111027,2014-2015,19,0.936046512,0,
117132,2014-2015,19,0.906976744,0,
2315816,2014-2015,4,0.936046512,0,
4219028,2014-2015,3,0.953488372,0,
21085252,2014-2015,1,0.779069767,0.12,
120575,2014-2015,19,0.523255814,0,
9429976,2014-2015,2,0.877906977,0,
4749013,2014-2015,3,0.953488372,0,
139671,2014-2015,16,0.825581395,0,
3939071,2014-2015,3,0.953488372,0,
147987,2014-2015,15,0.825581395,0,
143444,2014-2015,15,0.813953488,0,
1733668,2014-2015,5,0.372093023,-0.139796774,
147085,2014-2015,1,0,0,
456152,2014-2015,9,0.773255814,0,
12354032,2014-2015,1,0.930232558,0,
128220,2014-2015,18,0.906976744,0,
18574094,2014-2015,1,0,0,
151754,2014-2015,19,0.738372093,-0.08568873,
436790,2014-2015,9,0.895348837,0.0000322,
100973,2014-2015,19,0.697674419,0,
135293,2014-2015,19,0.825581395,0,
9439268,2014-2015,2,0.790697674,0.160286225,
1782414,2014-2015,5,0.755813953,0.04293381,
21454939,2014-2015,1,0.662790698,0,
114063,2014-2015,19,0.976744186,0,
9304466,2014-2015,2,0.941860465,0,
113260,2014-2015,19,0.872093023,-0.043473706,
4928507,2014-2015,7,0.976744186,-0.008589985,
139682,2014-2015,16,0.906976744,0,
2378751,2014-2015,4,0.209302326,0,
101842,2014-2015,1,0,0,
1691051,2014-2015,5,0.872093023,0,
123050,2014-2015,19,0.825581395,0,
449470,2014-2015,9,0.604651163,0,
3159188,2014-2015,3,0.848837209,0,
1695557,2014-2015,5,0.76744186,0,
12029029,2014-2015,1,0.901162791,0,
107749,2014-2015,19,0.668604651,0,
9144086,2014-2015,3,0.848837209,0.005330948,
123336,2014-2015,19,0.965116279,0,
100214,2014-2015,19,0,0,
137581,2014-2015,19,0,0,
21102781,2014-2015,1,0.5,-0.129341085,
143708,2014-2015,15,0.88372093,0,
20329893,2014-2015,1,0.790697674,0,
12319037,2014-2015,1,0.860465116,0,
205492,2014-2015,13,0.86627907,0,
100940,2014-2015,19,0.796511628,0,
16594090,2014-2015,1,0.755813953,0,
146799,2014-2015,15,0.848837209,0,
344861,2014-2015,10,0.802325581,0,
1975940,2014-2015,4,0.895348837,0,
146953,2014-2015,15,0.872093023,0,
1840133,2014-2015,4,0.802325581,0,
9340146,2014-2015,2,0.941860465,0,
21105298,2014-2015,1,0.313953488,-0.010465116,
115768,2014-2015,19,0,0,
13859122,2014-2015,1,0.751937984,0.127131783,
211057,2014-2015,12,0.895348837,0,
9267855,2014-2015,2,0.581395349,0,
151842,2014-2015,19,0.906976744,0.004566425,
