season_year,contact_id,renewed,Gender,zip,distance,number_of_tix,seat_start,seat_end,section,row,pricecode_desc,aisle,general_location,priceleveldesc,purchase_price_notax,multiple_locations,tenure,percent_total_used,paid_in_full,percent_personally_used,flash_profit_loss,season_performance
2014-2015,139616,1,Male,80304,25.19093049,2,13,14,102,9,Full Renewal,0,Lower,Prime Loge,111,No,17,0.046511628,0,0.046511628,0,0.549
2014-2015,18599039,1,Female,80202,0.545389681,4,7,10,102,12,Full Renewal,0,Lower,Prime Loge,111,No,1,0.755813953,0,0.755813953,0,0.549
2014-2015,157956,1,Female,80401,12.11791161,8,9,12,102,4,Full Renewal,0,Lower,Prime Loge,111,No,19,0.840116279,0,0.840116279,0,0.549
2014-2015,8239001,1,Male,80206,3.111903246,2,7,8,102,10,Full Renewal,0,Lower,Prime Loge,111,No,3,0.662790698,0,0.662790698,0,0.549
2014-2015,105736,1,Male,92707,10,4,1,4,102,7,Full Renewal,1,Lower,Prime Loge,111,No,19,0.569767442,0,0.569767442,0,0.549
2014-2015,120740,1,Male,80026,17.6288244,2,1,2,102,10,Full Renewal,1,Lower,Prime Loge,111,No,19,0.988372093,1,0.988372093,0,0.549
2014-2015,19394004,0,Male,80112,13.93616799,4,15,18,102,13,Full Renewal,1,Lower,Prime Loge,111,No,1,0.877906977,0,0.877906977,0,0.549
2014-2015,223168,0,Male,80155,10,4,9,12,102,10,Full Renewal,0,Lower,Prime Loge,111,No,12,0.860465116,1,0.860465116,0,0.549
2014-2015,2301069,1,Female,28255,10,8,3,16,102,14,Full Renewal,0,Lower,Prime Loge,111,Yes,4,0.680232558,1,0.680232558,0,0.549
2014-2015,225247,1,Female,80524,61.21194946,4,1,18,102,4,Full Renewal,1,Lower,Prime Loge,111,Yes,12,0.895348837,0,0.88372093,-0.001152315,0.549
2014-2015,9397375,1,Male,80202,0.545389681,2,17,18,102,11,Full Renewal,1,Lower,Prime Loge,111,No,2,0.755813953,0,0.523255814,-0.053425519,0.549
2014-2015,122984,1,Male,80403,18.43365062,4,7,10,102,11,Full Renewal,0,Lower,Prime Loge,111,No,19,0.773255814,0,0.773255814,0,0.549
2014-2015,9391050,0,Male,8002,10,108,1,20,102,11,Full Renewal,1,Lower,Prime Loge,111,Yes,2,0.933462532,0,0.932601206,-0.000628536,0.549
2014-2015,21068001,1,Male,80202,0.545389681,4,5,8,102,17,Full New,0,Lower,Prime Loge,111,No,0,0.825581395,0,0.755813953,-0.042530903,0.549
2014-2015,132389,1,Female,80424,57.02771014,2,17,18,102,19,Full Renewal,1,Lower,Prime Loge,111,No,19,0.872093023,0,0.872093023,0,0.549
2014-2015,134721,1,Female,80223,3.314610037,2,1,2,102,8,Full Renewal,1,Lower,Prime Loge,111,No,19,0.976744186,0,0.976744186,0,0.549
2014-2015,2373074,1,Male,80206,3.111903246,4,9,12,102,8,Full Renewal,0,Lower,Prime Loge,111,No,4,0.598837209,0,0.598837209,0,0.549
2014-2015,1685851,0,Male,80202,0.545389681,2,5,6,102,8,Full New,0,Lower,Prime Loge,111,No,5,0.813953488,0,0.813953488,0,0.549
2014-2015,6771733,0,Male,80221,3.897239425,280,1,20,102,3,Full Renewal,1,Lower,Prime Loge,111,Yes,6,0.928322259,0,0.927491694,0.000225628,0.549
2014-2015,258376,1,Male,80204,1.243302994,2,7,8,102,8,Full Renewal,0,Lower,Prime Loge,111,No,12,0.837209302,0,0.837209302,0,0.549
2014-2015,325487,1,Female,80127,16.56325898,2,3,4,102,6,Full Renewal,0,Lower,Prime Loge,111,No,15,0.88372093,0,0.88372093,0,0.549
2014-2015,100676,1,Female,80202,0.545389681,2,1,2,102,6,Full Renewal,1,Lower,Prime Loge,111,No,19,0.976744186,0,0.953488372,0.002514142,0.549
2014-2015,18094028,1,Male,58703,10,4,1,18,102,8,Full Renewal,1,Lower,Prime Loge,111,Yes,1,0.563953488,0,0.563953488,0,0.549
2014-2015,21074987,1,Female,80424,57.02771014,4,9,12,102,6,Full New,0,Lower,Prime Loge,111,No,0,0.860465116,0,0.813953488,-0.022941546,0.549
2014-2015,105340,1,Male,80222,6.751365038,2,3,4,102,15,Full Expansion,0,Lower,Prime Loge,111,No,19,0.872093023,0,0.872093023,0,0.549
2014-2015,100313,1,Male,80205,2.165574953,2,3,4,102,9,Full Renewal,0,Lower,Prime Loge,111,No,19,0.848837209,0,0.848837209,0,0.549
2014-2015,20983307,0,Male,80206,3.111903246,4,15,18,102,15,Full New,1,Lower,Prime Loge,111,No,1,0,0,0,0,0.549
2014-2015,123501,1,Male,80203,1.797108906,4,1,18,102,10,Full Renewal,1,Lower,Prime Loge,111,Yes,19,0.819767442,0,0.819767442,0,0.549
2014-2015,21090793,0,Female,80015,14.63126808,2,13,14,102,18,Full New,0,Lower,Prime Loge,111,No,0,0.930232558,0,0.930232558,0,0.549
2014-2015,1688543,0,Male,80005,9.866494508,2,7,14,102,7,Full Renewal,0,Lower,Prime Loge,111,Yes,5,0.744186047,0,0.744186047,0,0.549
2014-2015,3976357,1,Unknown,80134,23.30650328,28,1,20,102,4,Full Renewal,1,Lower,Prime Loge,111,Yes,7,0.954318937,0,0.954318937,0,0.549
2014-2015,485821,0,Male,80234,11.28597186,2,5,6,102,9,Full Renewal,0,Lower,Prime Loge,111,No,8,0.627906977,0,0.209302326,-0.145233606,0.549
2014-2015,135249,1,Male,81631,10,2,1,2,102,17,Full Renewal,1,Lower,Prime Loge,111,No,19,0.860465116,0,0.860465116,0,0.549
2014-2015,141013,1,Female,80220,4.745640074,2,9,10,102,5,Full Renewal,0,Lower,Prime Loge,111,No,18,0.918604651,0,0.918604651,0,0.549
2014-2015,136855,1,Male,80123,9.653536423,2,5,6,102,5,Full Renewal,0,Lower,Prime Loge,111,No,19,0.918604651,0,0.895348837,-0.005447308,0.549
2014-2015,134842,1,Unknown,80234,11.28597186,2,17,18,102,7,Full Renewal,1,Lower,Prime Loge,111,No,19,0.860465116,0,0.860465116,0,0.549
2014-2015,107848,1,Unknown,80112,13.93616799,4,1,4,102,16,Full Renewal,1,Lower,Prime Loge,111,No,19,0.802325581,0,0.802325581,0,0.549
2014-2015,1732384,1,Male,80465,14.89763627,2,1,2,102,19,Full Renewal,1,Lower,Prime Loge,111,No,5,0.860465116,0,0.860465116,0,0.549
2014-2015,21244940,0,Female,80121,9.924124354,4,5,8,102,7,Full New,0,Lower,Prime Loge,111,No,0,0.552325581,0,0.552325581,0,0.549
2014-2015,176447,1,Male,80111,11.54419147,1,16,16,102,8,Full Renewal,0,Lower,Prime Loge,111,No,15,0.674418605,1,0.674418605,0,0.549
2014-2015,19454071,1,Unknown,80206,3.111903246,2,3,4,102,13,Full Renewal,0,Lower,Prime Loge,111,No,1,0.534883721,0,0,-0.159228996,0.549
2014-2015,1853594,1,Male,80401,12.11791161,1,2,2,102,9,Full Renewal,0,Lower,Prime Loge,111,No,4,0.069767442,0,0,0.002514142,0.549
2014-2015,9212211,1,Male,80121,9.924124354,2,1,2,102,4,Full Renewal,1,Lower,Prime Loge,111,No,3,0.697674419,1,0.697674419,0,0.549
2014-2015,3469019,1,Male,80921,49.52050271,2,11,12,102,5,Full Renewal,0,Lower,Prime Loge,111,No,3,0.872093023,0,0.872093023,0,0.549
2014-2015,1688671,1,Male,80124,16.00696196,4,3,9,102,4,Full New,1,Lower,Prime Loge,111,Yes,5,0.959302326,0,0.959302326,0,0.549
2014-2015,21037113,0,Male,80128,12.31983787,2,5,6,102,6,Full New,0,Lower,Prime Loge,111,No,0,1,0,1,0,0.549
2014-2015,107991,1,Male,80125,16.87307934,4,15,18,102,9,Full Renewal,1,Lower,Prime Loge,111,No,19,0.802325581,0,0.802325581,0,0.549
2014-2015,147283,1,Male,80118,38.12024671,4,1,18,102,14,Full Renewal,1,Lower,Prime Loge,111,Yes,15,0.738372093,0,0.738372093,0,0.549
2014-2015,180451,1,Female,80122,12.24753855,6,11,14,102,12,Full Renewal,0,Lower,Prime Loge,111,Yes,17,0.798449612,1,0.798449612,0,0.549
2014-2015,4771881,1,Male,80151,10,3,15,18,102,8,Full Renewal,1,Lower,Prime Loge,111,Yes,7,0.682170543,0,0.682170543,0,0.549
2014-2015,105945,1,Male,80220,4.745640074,2,17,18,102,2,Full Renewal,1,Lower,Prime Loge,111,No,19,0.941860465,1,0.941860465,0,0.549
2014-2015,484584,1,Male,80219,3.972427686,4,1,4,102,11,Full Renewal,1,Lower,Prime Loge,111,No,8,0.808139535,0,0.808139535,0,0.549
2014-2015,4759415,1,Male,80212,2.89908228,1,4,4,102,8,Full Renewal,0,Lower,Prime Loge,111,No,7,0.441860465,0,0.441860465,0,0.549
2014-2015,243741,1,Male,80122,12.24753855,2,1,2,102,15,Full New,1,Lower,Prime Loge,111,No,12,0.918604651,0,0.918604651,0,0.549
2014-2015,1651988,1,Male,80124,16.00696196,4,3,6,102,11,Full Renewal,0,Lower,Prime Loge,111,Yes,5,0.697674419,0,0.360465116,0.061847894,0.549
2014-2015,4770644,1,Male,81620,10,1,3,3,102,8,Full Renewal,0,Lower,Prime Loge,111,No,7,0.465116279,1,0.465116279,0,0.549
2014-2015,102667,1,Male,80107,35.14518602,2,17,18,102,6,Full Renewal,1,Lower,Prime Loge,111,No,19,0.813953488,0,0.813953488,0,0.549
2014-2015,118683,1,Female,80127,16.56325898,2,1,2,102,18,Full Renewal,1,Lower,Prime Loge,111,No,19,0.023255814,0,0,-0.012780222,0.549
2014-2015,137306,1,Male,80123,9.653536423,1,1,1,102,9,Full Renewal,1,Lower,Prime Loge,111,No,19,0,0,0,0,0.549
2014-2015,100159,1,Unknown,80014,11.25048602,2,13,14,102,10,Full Renewal,0,Lower,Prime Loge,111,No,19,0.88372093,0,0.860465116,0,0.549
2014-2015,9257996,1,Female,80621,28.21658388,2,13,14,102,8,Full Renewal,0,Lower,Prime Loge,111,No,2,0.651162791,1,0.651162791,0,0.549
2014-2015,110015,1,Male,80214,3.271025075,4,1,4,102,5,Full Renewal,1,Lower,Prime Loge,111,No,19,0.860465116,0,0.860465116,0,0.549
2014-2015,20634968,1,Female,80209,3.971141351,2,13,14,102,15,Full New,0,Lower,Prime Loge,111,No,1,0.720930233,0,0.720930233,0,0.549
2014-2015,16709042,1,Female,80211,1.505243705,2,7,8,102,5,Full Renewal,0,Lower,Prime Loge,111,No,1,0.697674419,1,0.697674419,0,0.549
2014-2015,141167,1,Male,80465,14.89763627,2,15,16,102,10,Full Renewal,0,Lower,Prime Loge,111,No,17,0.127906977,0,0,-0.030693484,0.549
2014-2015,107320,1,Male,80021,11.42589379,2,3,4,102,17,Full Renewal,0,Lower,Prime Loge,111,No,19,0.930232558,0,0.930232558,0,0.549
2014-2015,445395,1,Male,80160,10,2,3,4,102,10,Full Renewal,0,Lower,Prime Loge,111,No,9,0.476744186,1,0.476744186,0,0.549
2014-2015,130629,0,Female,80202,0.545389681,6,15,18,102,12,Full Renewal,1,Lower,Prime Loge,111,Yes,15,0.755813953,1,0.65503876,0.014072749,0.549
2014-2015,1509142,0,Male,80204,1.243302994,72,3,20,104,6,Full Renewal,1,Lower,Corner Loge,65,Yes,7,0.900839793,0,0.900839793,0,0.549
2014-2015,1517448,1,Male,80112,13.93616799,6,7,13,104,20,Full New,0,Lower,Corner Loge,65,Yes,7,0.546511628,0,0.220930233,0.034603188,0.549
2014-2015,115812,1,Male,80016,19.31679506,2,3,4,104,1,Full Renewal,0,Lower,Rinkside (Row 1),196,No,19,0.976744186,0,0.976744186,0,0.549
2014-2015,21024480,0,Male,80027,16.39536776,4,11,14,104,9,Full New,0,Lower,Corner Loge,65,No,0,0.895348837,0,0.895348837,0,0.549
2014-2015,102238,1,Male,80206,3.111903246,6,1,4,104,6,Full Renewal,1,Lower,Corner Loge,65,Yes,19,0.817829457,1,0.817829457,0,0.549
2014-2015,12084156,1,Male,80908,52.73709501,4,9,12,104,1,Full New,0,Lower,Rinkside (Row 1),196,No,1,0.290697674,0,0,0.081276697,0.549
2014-2015,21087542,0,Female,80227,7.299016768,2,7,8,104,11,Full New,0,Lower,Corner Loge,65,No,0,0.802325581,0,0.709302326,-0.042218247,0.549
2014-2015,7313975,0,Male,2302,10,88,1,18,104,17,Full Renewal,1,Lower,Corner Loge,65,Yes,3,0.933668076,0,0.933668076,0,0.549
2014-2015,112754,1,Male,80113,7.469600965,2,1,2,104,1,Full Renewal,1,Lower,Rinkside (Row 1),196,No,19,0.860465116,0,0.860465116,0,0.549
2014-2015,1735984,1,Male,80120,10.97010972,4,3,6,104,20,Full New,0,Lower,Corner Loge,65,No,5,0.790697674,0,0.790697674,0,0.549
2014-2015,104460,1,Unknown,80209,3.971141351,2,5,6,104,14,Full New,0,Lower,Corner Loge,65,No,19,0.837209302,0,0.837209302,0,0.549
2014-2015,124128,1,Male,80239,10.13972939,2,17,18,104,12,Full Renewal,1,Lower,Corner Loge,65,No,19,0.604651163,0,0.604651163,0,0.549
2014-2015,21116467,0,Male,H2X 1,10,4,1,4,104,15,Full New,1,Lower,Corner Loge,65,No,0,0.912790698,0,0.912790698,0,0.549
2014-2015,151952,0,Male,80134,23.30650328,2,3,4,104,22,Full New,0,Lower,Corner Loge,65,No,18,0.255813953,0,0,-0.068694097,0.549
2014-2015,16594090,1,Female,80228,9.276762628,2,3,4,104,14,Full Renewal,0,Lower,Corner Loge,65,No,1,0.755813953,1,0.755813953,0,0.549
2014-2015,8076174,1,Female,80017,12.34993065,2,15,16,104,5,Full New,0,Lower,Corner Loge,65,No,5,0.604651163,0,0.441860465,0.050089445,0.549
2014-2015,307223,0,Male,10977,10,17,1,16,104,16,Full New,1,Lower,Corner Loge,65,Yes,11,0.92749658,0,0.92749658,0,0.549
2014-2015,21000156,1,Male,80129,13.86820751,2,17,18,104,17,Full New,1,Lower,Corner Loge,65,No,1,0.534883721,0,0.534883721,0,0.549
2014-2015,484295,1,Male,80231,8.640553466,4,5,6,104,1,Full Renewal,0,Lower,Rinkside (Row 1),196,No,8,0.889534884,0,0.889534884,0,0.549
2014-2015,21086906,0,Male,80160,10,2,17,18,104,21,Full New,1,Lower,Corner Loge,65,No,0,0.918604651,0,0.918604651,0,0.549
2014-2015,9239498,1,Male,80921,49.52050271,2,1,2,104,16,Full New,1,Lower,Corner Loge,65,No,3,0.88372093,0,0.860465116,0,0.549
2014-2015,22674944,1,Male,80123,9.653536423,2,5,6,104,22,Full New,0,Lower,Corner Loge,65,No,0,0.837209302,0,0.837209302,0,0.549
2014-2015,1872263,0,Female,80016,19.31679506,4,11,14,104,21,Full New,0,Lower,Corner Loge,65,No,4,0.889534884,0,0.889534884,0,0.549
2014-2015,1698720,0,Male,80211,1.505243705,2,9,10,104,5,Full Expansion,0,Lower,Corner Loge,65,No,5,0.976744186,0,0,0.370125224,0.549
2014-2015,1799979,1,Male,80516,19.89058411,2,17,18,104,5,Full New,1,Lower,Corner Loge,65,No,4,0.88372093,0,0.255813953,0.302683363,0.549
2014-2015,1810534,0,Male,80138,23.62186718,6,5,10,104,6,Full New,0,Lower,Corner Loge,65,No,4,0.794573643,0,0.794573643,0,0.549
2014-2015,1681991,0,Male,80233,10.95151361,110,1,20,104,8,Full Renewal,1,Lower,Corner Loge,65,Yes,5,0.917970402,0,0.91627907,0.000374045,0.549
2014-2015,7002337,0,Male,7470,10,8,1,12,104,10,Full Renewal,1,Lower,Corner Loge,65,No,6,0.938953488,0,0.938953488,0,0.549
2014-2015,9200283,1,Male,80021,11.42589379,2,1,2,104,5,Full New,1,Lower,Corner Loge,65,No,3,0.069767442,0,0,0.031127013,0.549
2014-2015,108629,1,Male,80020,13.50261426,8,5,8,104,4,Full Renewal,0,Lower,Corner Loge,65,Yes,19,0.875,0,0.822674419,0.030697674,0.549
2014-2015,1740091,1,Male,80498,69.0200484,4,5,8,104,3,Full Renewal,0,Lower,Corner Loge,65,No,5,0.802325581,0,0.802325581,0,0.549
2014-2015,1846477,1,Male,80504,28.1877358,2,3,4,104,19,Full New,0,Lower,Corner Loge,65,No,4,0.127906977,0,0,-0.011627907,0.549
2014-2015,9189740,1,Male,80206,3.111903246,2,1,2,104,3,Full Renewal,1,Lower,Corner Loge,65,No,3,0.697674419,0,0.697674419,0,0.549
2014-2015,1685804,1,Female,80125,16.87307934,2,9,10,104,9,Full Renewal,0,Lower,Corner Loge,65,No,5,0.918604651,0,0.918604651,0,0.549
2014-2015,1835826,1,Male,80016,19.31679506,2,3,4,104,10,Full Renewal,0,Lower,Corner Loge,65,No,4,0.779069767,0,0.290697674,0.203220036,0.549
2014-2015,14579042,1,Male,80126,13.9656821,4,1,4,104,17,Full Renewal,1,Lower,Corner Loge,65,No,1,0.779069767,0,0.779069767,0,0.549
2014-2015,21045771,0,Male,H3K2k,10,24,1,15,104,5,Full New,1,Lower,Corner Loge,65,Yes,0,0.906007752,0,0.906007752,0,0.549
2014-2015,121037,1,Male,80621,28.21658388,2,9,10,104,8,Full Renewal,0,Lower,Corner Loge,65,No,19,0.988372093,0,0.988372093,0,0.549
2014-2015,248773,1,Male,80128,12.31983787,2,1,2,104,7,Full Renewal,1,Lower,Corner Loge,65,No,12,0.639534884,0,0.639534884,0,0.549
2014-2015,115603,1,Male,80210,5.49710847,2,1,2,104,20,Full New,1,Lower,Corner Loge,65,No,19,0.802325581,0,0.802325581,0,0.549
2014-2015,9174016,1,Female,none_,10.97010972,20,1,18,104,14,Full Renewal,1,Lower,Corner Loge,65,Yes,3,0.724418605,0,0.722093023,0.001610018,0.549
2014-2015,1783636,0,Male,60067,10,2,1,2,104,21,Full New,1,Lower,Corner Loge,65,No,5,0.744186047,0,0,0.161001789,0.549
2014-2015,23004981,1,Female,80238,7.369356781,4,5,8,104,9,Full Renewal,0,Lower,Corner Loge,65,No,0,0.912790698,0,0.912790698,0,0.549
2014-2015,9304587,1,Male,80122,12.24753855,2,13,14,104,5,Full Expansion,0,Lower,Corner Loge,65,No,2,0.76744186,0,0,0.246511628,0.549
2014-2015,304097,1,Male,80401,12.11791161,4,1,4,104,18,Full Renewal,1,Lower,Corner Loge,65,No,11,0.651162791,0,0.651162791,0,0.549
2014-2015,13254191,1,Unknown,81416,10,4,15,18,104,13,Full Renewal,1,Lower,Corner Loge,65,No,1,0.790697674,0,0,0.216636852,0.549
2014-2015,8139782,0,Male,60007,10,2,15,16,104,9,Full Renewal,0,Lower,Corner Loge,65,No,5,0.976744186,0,0.976744186,0,0.549
2014-2015,122643,1,Male,80111,11.54419147,8,1,4,104,11,Full Renewal,1,Lower,Corner Loge,65,Yes,19,0.880813953,0,0.880813953,0,0.549
2014-2015,9189452,1,Male,80033,5.717740009,2,17,18,104,1,Full New,1,Lower,Rinkside (Row 1),196,No,3,0.88372093,0,0.88372093,0,0.549
2014-2015,1777538,1,Female,80206,3.111903246,4,7,10,104,16,Full New,0,Lower,Corner Loge,65,No,5,0.877906977,0,0.877906977,0,0.549
2014-2015,9144270,1,Female,80503,30.89603717,3,16,18,104,16,Full New,1,Lower,Corner Loge,65,No,3,0.84496124,0,0.84496124,0,0.549
2014-2015,8325546,0,Male,80127,16.56325898,174,1,20,104,15,Full Renewal,1,Lower,Corner Loge,65,Yes,3,0.93744988,0,0.937182572,0.0000411,0.549
2014-2015,123094,1,Female,80202,0.545389681,4,1,4,104,4,Full Renewal,1,Lower,Corner Loge,65,No,19,0.668604651,0,0.668604651,0,0.549
2014-2015,9407591,0,Male,7055,10,13,1,17,104,12,Full Renewal,1,Lower,Corner Loge,65,Yes,2,0.903398927,0,0.903398927,0,0.549
2014-2015,11938992,0,Male,92806,10,60,1,16,106,9,Full Renewal,1,Lower,Corner Loge,65,Yes,1,0.935271318,0,0.935271318,0,0.549
2014-2015,430322,1,Female,80216,2.883115457,4,1,4,106,19,Full Renewal,1,Lower,Corner Loge,65,No,10,0.598837209,1,0.598837209,0,0.549
2014-2015,1675742,1,Male,80122,12.24753855,4,1,4,106,11,Full COHO,1,Lower,Corner Loge,35,No,5,0.523255814,0,0.023255814,0.370963455,0.549
2014-2015,1801522,1,Male,80111,11.54419147,2,1,2,106,7,Full COHO,1,Lower,Corner Loge,35,No,4,0.744186047,0,0.744186047,0,0.549
2014-2015,7220111,0,Female,80120,10.97010972,4,3,10,106,10,Full Renewal,0,Lower,Corner Loge,65,Yes,6,0.686046512,1,0.686046512,0,0.549
2014-2015,21067860,1,Male,80603,23.46613256,3,7,9,106,4,Full New,1,Lower,Corner Loge,65,No,0,0.984496124,0,0.984496124,0,0.549
2014-2015,19339085,0,Male,80021,11.42589379,2,9,10,106,12,Full New,0,Lower,Corner Loge,65,No,1,0.465116279,0,0.38372093,0.004472272,0.549
2014-2015,363390,1,Male,80209,3.971141351,2,3,4,106,9,Full COHO,0,Lower,Corner Loge,35,No,10,0.23255814,0,0.23255814,0,0.549
2014-2015,9206358,1,Male,80124,16.00696196,2,1,2,106,9,Full New,1,Lower,Corner Loge,65,No,3,0.837209302,0,0.837209302,0,0.549
2014-2015,1729308,1,Male,80211,1.505243705,2,9,10,106,5,Full New,1,Lower,Corner Loge,65,No,5,0.837209302,0,0.837209302,0,0.549
2014-2015,6709295,1,Male,80224,6.488538709,4,1,4,106,14,Full Renewal,1,Lower,Corner Loge,65,No,6,0.88372093,0,0.88372093,0,0.549
2014-2015,2444139,0,Male,80226,4.900749515,2,11,12,106,14,Full New,0,Lower,Corner Loge,65,No,4,0.804878049,0,0.804878049,0,0.549
2014-2015,20972511,0,Male,80237,9.296555447,4,10,26,106,18,Full Renewal,1,Lower,Corner Loge,65,Yes,1,0.918604651,0,0.918604651,0,0.549
2014-2015,356741,1,Male,80129,13.86820751,2,19,20,106,20WC,Full New,1,Lower,Corner Loge,65,No,10,0.697674419,0,0.697674419,0,0.549
2014-2015,115460,1,Male,80121,9.924124354,4,1,4,106,20WC,Full Renewal,1,Lower,Corner Loge,65,Yes,19,0.680232558,0,0.680232558,0,0.549
2014-2015,12269079,1,Male,80465,14.89763627,4,1,4,106,8,Full New,1,Lower,Corner Loge,65,No,1,0.947674419,0,0.947674419,0,0.549
2014-2015,4816017,0,Female,80112,13.93616799,4,5,12,106,10,Full Renewal,1,Lower,Corner Loge,65,Yes,7,0.593023256,1,0.593023256,0,0.549
2014-2015,1692781,1,Male,80214,3.271025075,4,8,11,106,6,Full COHO,1,Lower,Corner Loge,35,No,5,0,0,0,0,0.549
2014-2015,444307,1,Female,80246,5.210518477,1,2,2,106,10,Full Renewal,0,Lower,Corner Loge,65,No,9,0.604651163,0,0.604651163,0,0.549
2014-2015,141937,1,Male,80229,8.023119073,4,1,4,106,6,Full Renewal,1,Lower,Corner Loge,65,No,14,0.848837209,1,0.848837209,0,0.549
2014-2015,108970,1,Male,80210,5.49710847,5,17,21,106,12,Full Renewal,1,Lower,Corner Loge,65,No,19,0.744186047,1,0.744186047,0,0.549
2014-2015,224895,1,Male,80120,10.97010972,4,5,8,106,20WC,Full Renewal,0,Lower,Corner Loge,65,No,12,0.790697674,0,0.709302326,0.002683363,0.549
2014-2015,2402725,1,Female,80863,48.18755168,3,4,6,106,4,Full New,0,Lower,Corner Loge,65,No,4,0.906976744,0,0.906976744,0,0.549
2014-2015,20934865,1,Male,80122,12.24753855,4,17,22,106,15,Full Renewal,1,Lower,Corner Loge,65,Yes,1,0.895348837,0,0.895348837,0,0.549
2014-2015,209968,1,Male,80228,9.276762628,2,1,2,106,18,Full Renewal,1,Lower,Corner Loge,65,No,12,0.73255814,0,0.73255814,0,0.549
2014-2015,20977635,0,Male,60645,10,12,1,14,106,5,Full Renewal,1,Lower,Corner Loge,65,Yes,1,0.906976744,0,0.906976744,0,0.549
2014-2015,9256543,1,Male,82602,10,1,1,1,106,10,Full Renewal,1,Lower,Corner Loge,65,No,2,0.627906977,1,0.627906977,0,0.549
2014-2015,141211,0,Male,80033,5.717740009,2,24,25,106,16,Full Renewal,1,Lower,Corner Loge,65,No,17,0.697674419,0,0.697674419,0,0.549
2014-2015,133742,1,Male,80226,4.900749515,4,8,11,106,19,Full Renewal,0,Lower,Corner Loge,65,No,18,0.970930233,0,0.970930233,0,0.549
2014-2015,1925474,1,Female,80237,9.296555447,1,4,4,108,5,Full New,0,Lower,Corner Loge,65,No,4,0.906976744,0,0.906976744,0,0.549
2014-2015,2352252,1,Male,80125,16.87307934,10,1,16,108,12,Full COHO,1,Lower,Corner Loge,35,Yes,4,0.704651163,0,0.704651163,0,0.549
2014-2015,1763183,1,Male,80528,51.02990003,2,1,2,108,7,Full New,1,Lower,Corner Loge,65,No,5,0.895348837,0,0.895348837,0,0.549
2014-2015,1685611,1,Male,80011,11.75385035,4,3,6,108,7,Full COHO,1,Lower,Corner Loge,35,No,5,0.854651163,0,0.854651163,0,0.549
2014-2015,1867273,1,Female,80020,13.50261426,2,1,2,108,5,Full New,1,Lower,Corner Loge,65,No,4,0.872093023,0,0.872093023,0,0.549
2014-2015,12204154,1,Male,80130,15.12980207,2,1,2,108,4,Full Renewal,1,Lower,Corner Loge,65,No,1,0.976744186,0,0.976744186,0,0.549
2014-2015,8332120,1,Male,80602,15.96896689,2,1,2,108,8,Full COHO,1,Lower,Corner Loge,35,No,3,0.802325581,0,0.639534884,0.196013289,0.549
2014-2015,20794877,1,Male,80223,3.314610037,2,4,5,108,6,Full New,0,Lower,Corner Loge,65,No,1,0.209302326,0,0,-0.10078712,0.549
2014-2015,2393856,1,Male,80002,5.034034218,2,1,2,108,1,Full New,1,Lower,Rinkside (Row 1),196,No,4,0.95,0,0.95,0,0.549
2014-2015,130904,1,Unknown,80250,10,4,2,4,108,4,Full Renewal,1,Lower,Corner Loge,65,No,15,0.86627907,0,0.808139535,0.025044723,0.549
2014-2015,1544478,1,Male,80130,15.12980207,2,1,2,108,10,Full COHO,1,Lower,Corner Loge,35,No,7,0.639534884,0,0.5,0.140863787,0.549
2014-2015,127142,1,Male,80014,11.25048602,4,1,3,108,2,Full Renewal,1,Lower,Corner Loge,65,No,19,0.906976744,0,0.906976744,0,0.549
2014-2015,1894877,0,Male,80601,18.67546717,1,3,3,108,8,Full New,0,Lower,Corner Loge,65,No,1,0,0,0,0,0.549
2014-2015,2396364,1,Male,80528,51.02990003,2,8,9,108,8,Full COHO,0,Lower,Corner Loge,35,No,4,0.88372093,0,0.88372093,0,0.549
2014-2015,13859122,0,Male,82605,10,6,5,19,110,5,Full New,1,Lower,End Loge,50,No,1,0.751937984,0,0.356589147,0.127131783,0.549
2014-2015,19538997,0,Male,80204,1.243302994,2,7,8,110,4,Full New,0,Lower,End Loge,50,No,1,0.209302326,0,0,0.058139535,0.549
2014-2015,134369,1,Male,80109,26.37374182,4,1,17,110,3,Full Renewal,1,Lower,End Loge,50,Yes,19,0.86627907,0,0.86627907,0,0.549
2014-2015,17549000,1,Male,80120,10.97010972,4,13,16,110,7,Full Renewal,0,Lower,End Loge,50,No,1,0.825581395,0,0.825581395,0,0.549
2014-2015,157234,0,Male,80439,24.2489386,2,15,16,110,1,Full Renewal,1,Lower,Rinkside (Row 1),196,No,14,0.162790698,1,0.162790698,0,0.549
2014-2015,4905307,1,Male,80260,7.818047032,2,1,2,110,8,Full New,1,Lower,End Loge,50,No,7,0.88372093,0,0.88372093,0,0.549
2014-2015,214555,1,Male,80209,3.971141351,4,1,16,110,2,Full Renewal,1,Lower,End Loge,50,Yes,12,0.744186047,0,0.744186047,0,0.549
2014-2015,18184033,0,Male,30078,10,2,7,8,110,9,Full Renewal,0,Lower,End Loge,50,No,1,0.88372093,0,0.88372093,0,0.549
2014-2015,1915216,1,Male,80111,11.54419147,4,14,17,110,6,Full Renewal,0,Lower,End Loge,50,No,7,0.854651163,1,0.854651163,0,0.549
2014-2015,4004052,1,Female,80223,3.314610037,4,13,16,110,20,Full New,1,Lower,End Loge,50,No,3,0.058139535,0,0,0.026744186,0.549
