contact_id,seats,seat_end,seat_start,number_seats,years,num_years,renewed,attendance,performance,tix_num,zip,distance,section,num_sections,multiple_sections,lower_level,club_level,upper_level,gender,gender_num,season_year,paid_in_full,tenure,wins,ot_losses
100093,"[6, 5, 2, 1]",6,1,6,"[2015, 2016, 2017, 2018, 2019]",5,1,0.90625,0.5792682926829268,160,80204,0.8884784617602121,['142'],1,0,1,0,0,male,2,2017-2018,0.0,22,43,9
100159,"[17, 18]",18,17,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9722222222222222,0.5792682926829268,72,80014,10.395682635516573,['102'],1,0,1,0,0,unknown,0,2017-2018,0.0,22,43,9
100203,"[9, 8, 10, 7]",10,7,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.925,0.5792682926829268,80,80111,10.996835490559503,['126'],1,0,1,0,0,male,2,2017-2018,0.0,22,43,9
100313,"[4, 3]",4,3,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9,0.5792682926829268,80,80205,2.1536172516902488,['102'],1,0,1,0,0,mostly_male,2,2017-2018,0.0,22,43,9
100390,[9],9,9,1,"[2015, 2016, 2018, 2019]",4,1,0.725,0.5792682926829268,160,80210,5.378061818205583,['142'],1,0,1,0,0,mostly_female,1,2017-2018,1.0,22,43,9
100467,"[14, 13, 15, 16]",16,13,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.85,0.5792682926829268,80,80121,9.90099778112696,['134'],1,0,1,0,0,male,2,2017-2018,1.0,22,43,9
100555,"[22, 21, 14, 11, 12, 13]",22,11,12,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7125,0.5792682926829268,80,80222,6.828016439908511,['353'],1,0,0,0,1,male,2,2017-2018,0.0,22,43,9
100610,"[16, 15]",16,15,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.17543859649122806,0.5792682926829268,114,80112,14.946578233208779,"['140', '363', '373']",3,1,1,0,1,male,2,2017-2018,0.0,22,43,9
100632,"[3, 4]",4,3,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8,0.5792682926829268,160,80016,17.5762661692004,['349'],1,0,0,0,1,male,2,2017-2018,1.0,22,43,9
100676,[18],18,18,1,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9,0.5792682926829268,80,80202,0.41975542715115144,['102'],1,0,1,0,0,female,1,2017-2018,0.0,22,43,9
100687,"[5, 3, 4, 6, 15, 16, 13, 14]",16,3,14,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9,0.5792682926829268,80,80210,5.378061818205583,['258'],1,0,0,1,0,female,1,2017-2018,0.0,22,43,9
100929,"[8, 7]",8,7,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.75,0.5792682926829268,40,80035,11.042246228688796,['331'],1,0,0,0,1,male,2,2017-2018,0.0,22,43,9
100940,"[1, 2]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.6309523809523809,0.5792682926829268,168,80206,3.333055019510513,['148'],1,0,1,0,0,male,2,2017-2018,0.0,22,43,9
100973,"[2, 1]",2,1,2,"[2015, 2016, 2017, 2018]",4,0,0.825,0.5792682926829268,160,80113,7.918425309322313,['126'],1,0,1,0,0,male,2,2017-2018,0.0,22,43,9
101028,"[12, 11, 13]",13,11,3,"[2015, 2016, 2017, 2018, 2019]",5,1,0.875,0.5792682926829268,40,80439,21.16772605271388,['134'],1,0,1,0,0,unknown,0,2017-2018,0.0,22,43,9
101061,"[6, 7, 5, 8]",8,5,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.91875,0.5792682926829268,160,80108,22.2594855961173,['128'],1,0,1,0,0,male,2,2017-2018,0.0,22,43,9
101347,"[3, 4, 2, 1, 7, 12, 8, 11, 9, 10]",12,1,12,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9146341463414634,0.5792682926829268,82,80919,56.7726142775064,['146'],1,0,1,0,0,male,2,2017-2018,0.0,22,43,9
101435,"[5, 6, 7, 8, 3, 4]",8,3,6,"[2015, 2016, 2017, 2018, 2019]",5,1,0.85,0.5792682926829268,80,80134,20.424778651846815,['126'],1,0,1,0,0,male,2,2017-2018,0.0,22,43,9
101545,[16],16,16,1,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8230088495575221,0.5792682926829268,113,80216,4.18990540917288,['126'],1,0,1,0,0,male,2,2017-2018,0.0,22,43,9
101611,"[15, 1, 4, 2, 3]",15,1,15,"[2015, 2016, 2017, 2018, 2019]",5,1,0.725,0.5792682926829268,80,80224,7.040074186125589,['140'],1,0,1,0,0,male,2,2017-2018,0.0,22,43,9
101710,"[6, 7]",7,6,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.975609756097561,0.5792682926829268,82,80246,5.331326750563896,"['110', '302']",2,1,1,0,1,male,2,2017-2018,0.0,22,43,9
101842,"[18, 2, 17, 1]",18,1,18,"[2015, 2016, 2017, 2018, 2019]",5,1,0.90625,0.5792682926829268,160,80238,7.13383819617446,['128'],1,0,1,0,0,male,2,2017-2018,0.0,2,43,9
101897,"[15, 16]",16,15,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8125,0.5792682926829268,160,80216,4.18990540917288,['140'],1,0,1,0,0,male,2,2017-2018,1.0,22,43,9
102095,"[14, 13]",14,13,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9,0.5792682926829268,80,80007,14.058374835469158,['140'],1,0,1,0,0,male,2,2017-2018,1.0,22,43,9
102238,"[2, 1]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9375,0.5792682926829268,160,80202,0.41975542715115144,['140'],1,0,1,0,0,male,2,2017-2018,1.0,22,43,9
102315,"[4, 3, 2, 1]",4,1,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9285714285714286,0.5792682926829268,84,80228,8.595264794725352,"['361', '363']",2,1,0,0,1,male,2,2017-2018,0.0,22,43,9
102403,"[4, 2, 3, 1]",4,1,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.825,0.5792682926829268,160,80202,0.41975542715115144,['128'],1,0,1,0,0,male,2,2017-2018,0.0,22,43,9
102667,"[14, 13, 12, 15, 4, 5, 7, 2, 6, 3, 1, 8]",15,1,15,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7619047619047619,0.5792682926829268,84,80107,36.241129551477755,"['254', '136']",2,1,1,1,0,male,2,2017-2018,0.0,22,43,9
102799,"[13, 14]",14,13,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8854166666666666,0.5792682926829268,96,80015,15.03846554361427,"['374', '326']",2,1,0,0,1,male,2,2017-2018,0.0,22,43,9
103118,"[18, 17]",18,17,2,"[2015, 2017, 2018]",3,0,0.975,0.5792682926829268,40,80111,10.996835490559503,['146'],1,0,1,0,0,male,2,2017-2018,0.0,22,43,9
103690,"[1, 2]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8375,0.5792682926829268,80,80302,31.963969593706288,['148'],1,0,1,0,0,mostly_male,2,2017-2018,0.0,22,43,9
103734,"[4, 3]",4,3,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.75,0.5792682926829268,80,80109,31.485202911337495,['362'],1,0,0,0,1,male,2,2017-2018,0.0,22,43,9
103789,"[1, 4, 3, 2]",4,1,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9404761904761905,0.5792682926829268,84,80237,9.129757048485972,['124'],1,0,1,0,0,male,2,2017-2018,0.0,22,43,9
103800,"[14, 17, 15, 16]",17,14,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8690476190476191,0.5792682926829268,84,80241,12.76289518329032,"['108', '379']",2,1,1,0,1,male,2,2017-2018,0.0,22,43,9
103811,"[2, 1]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.925,0.5792682926829268,160,80111,10.996835490559503,['116'],1,0,1,0,0,unknown,0,2017-2018,0.0,22,43,9
103932,"[18, 17]",18,17,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8484848484848485,0.5792682926829268,330,80206,3.333055019510513,"['134', '128']",2,1,1,0,0,female,1,2017-2018,0.9696969696969697,22,43,9
104119,"[13, 14]",14,13,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.725,0.5792682926829268,80,80215,5.481319496835096,['146'],1,0,1,0,0,male,2,2017-2018,0.0,22,43,9
104372,"[15, 17, 2, 16, 18, 1]",18,1,18,"[2015, 2016, 2017, 2018, 2019]",5,1,0.65625,0.5792682926829268,160,80216,4.18990540917288,['126'],1,0,1,0,0,male,2,2017-2018,1.0,22,43,9
104460,"[4, 3]",4,3,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9375,0.5792682926829268,80,80209,3.0505548451860673,['104'],1,0,1,0,0,male,2,2017-2018,0.0,22,43,9
104493,"[4, 7, 5, 8, 6, 3, 12, 10, 13, 11, 9, 14, 15, 16, 18, 17, 19, 1, 2]",19,1,19,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8452380952380952,0.5792682926829268,168,80401,10.78147262646119,['124'],1,0,1,0,0,male,2,2017-2018,0.9523809523809523,22,43,9
