contact_id,seats,seat_end,seat_start,number_seats,years,num_years,attendance,performance,tix_num,zip,distance,section,num_sections,multiple_sections,lower_level,club_level,upper_level,gender,gender_num,season_year,paid_in_full,renewed,tenure,wins,ot_losses
20972437,"[21, 22]",22,21,2,"[2018, 2019]",2,0.975609756097561,0.5487804878048781,82,80221,4.920592092262844,['310'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,1,38,14
20980959,"[1, 2, 3, 4]",4,1,4,"[2018, 2019]",2,0.975609756097561,0.5487804878048781,82,80023,15.281939347645432,['236'],1,0,0,1,0,male,2,2018-2019,0.0,1.0,3,38,14
20984546,"[4, 5, 8, 7]",8,4,5,"[2018, 2019]",2,1.0,0.5487804878048781,82,80226,5.133145076472918,['132'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,1,38,14
20984807,"[13, 14]",14,13,2,"[2018, 2019]",2,0.7439024390243902,0.5487804878048781,82,80202,0.41975542715115144,['320'],1,0,0,0,1,female,1,2018-2019,0.0,0.0,2,38,14
20987234,"[1, 2, 15, 16]",16,1,16,"[2018, 2019]",2,0.5975609756097561,0.5487804878048781,82,80204,0.8884784617602121,['140'],1,0,1,0,0,female,1,2018-2019,0.0,1.0,5,38,14
20989495,"[2, 1]",2,1,2,"[2018, 2019]",2,0.9024390243902439,0.5487804878048781,82,80021,12.027042541896941,['372'],1,0,0,0,1,female,1,2018-2019,0.0,1.0,5,38,14
20990527,"[6, 3, 4, 5, 7, 16, 13, 15, 1, 8, 14, 17, 2, 12]",17,1,17,"[2018, 2019]",2,0.8536585365853658,0.5487804878048781,82,80401,10.78147262646119,['376'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,4,38,14
20990810,"[11, 12, 9, 10, 6, 5, 8, 7]",12,5,8,"[2018, 2019]",2,0.36585365853658536,0.5487804878048781,82,80111,10.996835490559503,['334'],1,0,0,0,1,female,1,2018-2019,0.0,1.0,2,38,14
20992432,"[4, 3]",4,3,2,"[2018, 2019]",2,0.6097560975609756,0.5487804878048781,82,80018,17.404089121812373,['104'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,4,38,14
20996809,"[1, 2]",2,1,2,"[2018, 2019]",2,0.7560975609756098,0.5487804878048781,82,80516,22.176966296199538,['256'],1,0,0,1,0,male,2,2018-2019,0.0,1.0,5,38,14
20997989,"[15, 18, 16, 17, 3, 10, 12, 7, 2, 4, 13, 1, 11, 9, 6, 8, 5, 14]",18,1,18,"[2018, 2019]",2,0.7987804878048781,0.5487804878048781,164,80111,10.996835490559503,['120'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,5,38,14
20999162,"[2, 1]",2,1,2,"[2018, 2019]",2,0.9512195121951219,0.5487804878048781,82,80516,22.176966296199538,['146'],1,0,1,0,0,mostly_male,2,2018-2019,0.0,1.0,5,38,14
21001600,[11],11,11,1,"[2018, 2019]",2,0.8536585365853658,0.5487804878048781,82,80920,55.87872304737653,['344'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,5,38,14
21001926,"[14, 16, 13, 15]",16,13,4,"[2018, 2019]",2,0.8780487804878049,0.5487804878048781,82,80224,7.040074186125589,['378'],1,0,0,0,1,female,1,2018-2019,0.0,1.0,4,38,14
21003335,"[13, 14]",14,13,2,"[2018, 2019]",2,1.0,0.5487804878048781,82,80112,14.946578233208779,['102'],1,0,1,0,0,male,2,2018-2019,0.0,0.0,1,38,14
21005302,"[7, 10, 8, 9]",10,7,4,"[2018, 2019]",2,0.9024390243902439,0.5487804878048781,82,80202,0.41975542715115144,['366'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,4,38,14
21006029,"[14, 15]",15,14,2,"[2018, 2019]",2,0.7926829268292683,0.5487804878048781,82,80239,9.18630052442532,['106'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,2,38,14
21006798,"[8, 7]",8,7,2,"[2018, 2019]",2,0.975609756097561,0.5487804878048781,82,80108,22.2594855961173,['122'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,5,38,14
21007740,"[2, 1]",2,1,2,"[2018, 2019]",2,0.9418604651162791,0.5487804878048781,86,80241,12.76289518329032,"['330', '236']",2,1,0,1,1,male,2,2018-2019,0.0,1.0,2,38,14
21010152,"[2, 1]",2,1,2,"[2018, 2019]",2,0.9872881355932204,0.5487804878048781,236,80134,20.424778651846815,"['330', '310', '350', '312']",4,1,0,0,1,male,2,2018-2019,0.0,1.0,1,38,14
21013101,"[15, 16]",16,15,2,"[2018, 2019]",2,0.95,0.5487804878048781,80,80123,9.966794269339156,['322'],1,0,0,0,1,male,2,2018-2019,0.0,0.0,1,38,14
21013484,"[17, 18]",18,17,2,"[2018, 2019]",2,0.926829268292683,0.5487804878048781,82,80504,31.139411287968425,['352'],1,0,0,0,1,female,1,2018-2019,0.0,1.0,1,38,14
21013889,"[17, 18]",18,17,2,"[2018, 2019]",2,0.9512195121951219,0.5487804878048781,41,80130,15.962594662769034,['142'],1,0,1,0,0,female,1,2018-2019,0.0,1.0,5,38,14
21014669,"[6, 4, 3, 5]",6,3,4,"[2018, 2019]",2,0.7804878048780488,0.5487804878048781,82,80601,17.744587816502463,['136'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,1,38,14
21023755,"[2, 1]",2,1,2,"[2018, 2019]",2,0.8780487804878049,0.5487804878048781,41,80221,4.920592092262844,['361'],1,0,0,0,1,unknown,0,2018-2019,0.0,1.0,3,38,14
