contact_id,seats,seat_end,seat_start,number_seats,years,num_years,renewed,attendance,performance,tix_num,zip,distance,section,num_sections,multiple_sections,lower_level,club_level,upper_level,gender,gender_num,season_year,paid_in_full,tenure,wins,ot_losses
100093,"[17, 16, 18, 15]",18,15,4,"[2015, 2019]",2,0,0.9186046511627907,0.5487804878048781,258,80204,0.8884784617602121,['142'],1,0,1,0,0,male,2,2014-2015,0.0,19.0,39,12
100159,"[15, 18, 3, 8, 5, 16, 7, 4, 17, 6, 14, 13, 12, 11, 9, 10, 20, 19]",20,3,18,[2015],1,0,0.8604651162790697,0.5487804878048781,86,80014,10.395682635516573,['102'],1,0,1,0,0,unknown,0,2014-2015,0.0,19.0,39,12
100203,"[2, 1]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7674418604651163,0.5487804878048781,86,80111,10.996835490559503,['126'],1,0,1,0,0,male,2,2014-2015,0.0,19.0,39,12
100214,"[7, 5, 6, 8]",8,5,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.0,0.5487804878048781,86,80121,9.90099778112696,['148'],1,0,1,0,0,male,2,2014-2015,0.0,19.0,39,12
100225,"[12, 11, 13, 7, 14, 8]",14,7,8,[2015],1,0,0.9302325581395349,0.5487804878048781,86,80123,9.966794269339156,['373'],1,0,0,0,1,male,2,2014-2015,0.0,19.0,39,12
100313,"[2, 3, 4, 1]",4,1,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8488372093023255,0.5487804878048781,86,80205,2.1536172516902488,['102'],1,0,1,0,0,mostly_male,2,2014-2015,0.0,19.0,39,12
100346,"[18, 17, 1, 2]",18,1,18,"[2015, 2016]",2,1,0.8837209302325582,0.5487804878048781,43,80112,14.946578233208779,['126'],1,0,1,0,0,male,2,2014-2015,0.0,19.0,39,12
100390,"[3, 4]",4,3,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.0,0.5487804878048781,172,80210,5.378061818205583,['144'],1,0,1,0,0,mostly_female,1,2014-2015,1.0,19.0,39,12
100467,"[11, 1, 2, 9, 10, 12, 5, 6]",12,1,12,[2015],1,0,0.9069767441860465,0.5487804878048781,86,80121,9.90099778112696,['134'],1,0,1,0,0,male,2,2014-2015,1.0,19.0,39,12
100555,"[11, 13, 14, 12, 10, 6, 1, 5, 4, 3, 7, 2, 9, 8, 18, 15, 16, 17]",18,1,18,[2015],1,0,0.6511627906976745,0.5487804878048781,86,80222,6.828016439908511,['353'],1,0,0,0,1,male,2,2014-2015,0.0,19.0,39,12
