attendance,club_level,contact_id,distance,gender_num,lower_level,multiple_sections,num_sections,num_years,number_seats,ot_losses,paid_in_full,performance,renewed,season_year,seat_end,seat_start,tenure,tix_num,upper_level,wins,percent_total_used,flash_profit_loss
0.8488372093023255,0,100159,10.395682635516572,0,1,0,1,5,3,4,0.0,0.5,1.0,2015-2016,8,6,20.0,86,0,39,0.8636363640000001,0.015810277
0.8488372093023255,0,100159,10.395682635516572,0,1,0,1,5,3,4,0.0,0.5,1.0,2015-2016,8,6,20.0,86,0,39,0.974358974,0.003108003
0.8488372093023255,0,100159,10.395682635516572,0,1,0,1,5,3,4,0.0,0.5,1.0,2015-2016,8,6,20.0,86,0,39,1.0,0.0
0.8780487804878049,0,100159,10.395682635516572,0,1,0,1,5,2,4,0.0,0.2926829268292683,1.0,2016-2017,18,17,21.0,82,0,22,0.88372093,0.0
0.8780487804878049,0,100159,10.395682635516572,0,1,0,1,5,2,4,0.0,0.2926829268292683,1.0,2016-2017,18,17,21.0,82,0,22,0.848837209,0.0
0.8780487804878049,0,100159,10.395682635516572,0,1,0,1,5,2,4,0.0,0.2926829268292683,1.0,2016-2017,18,17,21.0,82,0,22,0.8636363640000001,0.015810277
0.8780487804878049,0,100159,10.395682635516572,0,1,0,1,5,2,4,0.0,0.2926829268292683,1.0,2016-2017,18,17,21.0,82,0,22,0.974358974,0.003108003
0.8780487804878049,0,100159,10.395682635516572,0,1,0,1,5,2,4,0.0,0.2926829268292683,1.0,2016-2017,18,17,21.0,82,0,22,1.0,0.0
0.9722222222222222,0,100159,10.395682635516572,0,1,0,1,5,2,9,0.0,0.5792682926829268,1.0,2017-2018,18,17,22.0,72,0,43,0.88372093,0.0
0.9722222222222222,0,100159,10.395682635516572,0,1,0,1,5,2,9,0.0,0.5792682926829268,1.0,2017-2018,18,17,22.0,72,0,43,0.848837209,0.0
0.9722222222222222,0,100159,10.395682635516572,0,1,0,1,5,2,9,0.0,0.5792682926829268,1.0,2017-2018,18,17,22.0,72,0,43,0.8636363640000001,0.015810277
0.9722222222222222,0,100159,10.395682635516572,0,1,0,1,5,2,9,0.0,0.5792682926829268,1.0,2017-2018,18,17,22.0,72,0,43,0.974358974,0.003108003
0.9722222222222222,0,100159,10.395682635516572,0,1,0,1,5,2,9,0.0,0.5792682926829268,1.0,2017-2018,18,17,22.0,72,0,43,1.0,0.0
1.0,0,100159,10.395682635516572,0,1,0,1,5,8,14,0.0,0.5487804878048781,1.0,2018-2019,12,5,23.0,82,0,38,0.88372093,0.0
1.0,0,100159,10.395682635516572,0,1,0,1,5,8,14,0.0,0.5487804878048781,1.0,2018-2019,12,5,23.0,82,0,38,0.848837209,0.0
1.0,0,100159,10.395682635516572,0,1,0,1,5,8,14,0.0,0.5487804878048781,1.0,2018-2019,12,5,23.0,82,0,38,0.8636363640000001,0.015810277
1.0,0,100159,10.395682635516572,0,1,0,1,5,8,14,0.0,0.5487804878048781,1.0,2018-2019,12,5,23.0,82,0,38,0.974358974,0.003108003
1.0,0,100159,10.395682635516572,0,1,0,1,5,8,14,0.0,0.5487804878048781,1.0,2018-2019,12,5,23.0,82,0,38,1.0,0.0
0.7674418604651163,0,100203,10.996835490559503,2,1,0,1,5,2,12,0.0,0.5487804878048781,1.0,2014-2015,2,1,19.0,86,0,39,0.76744186,0.0
0.7674418604651163,0,100203,10.996835490559503,2,1,0,1,5,2,12,0.0,0.5487804878048781,1.0,2014-2015,2,1,19.0,86,0,39,0.76744186,0.0
