contact_id,seats,seat_end,seat_start,number_seats,years,num_years,renewed,attendance,performance,tix_num,zip,distance,section,num_sections,multiple_sections,lower_level,club_level,upper_level,gender,gender_num,season_year,paid_in_full,tenure,wins,ot_losses
100093,"[1, 2]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8617886178861789,0.2926829268292683,246,80204,0.8884784617602121,['142'],1,0,1,0,0,male,2,2016-2017,0.0,21,22,4
100159,"[18, 17]",18,17,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8780487804878049,0.2926829268292683,82,80014,10.395682635516573,['102'],1,0,1,0,0,unknown,0,2016-2017,0.0,21,22,4
100203,"[9, 8, 7, 10, 24, 25]",25,7,19,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8658536585365854,0.2926829268292683,82,80111,10.996835490559503,['126'],1,0,1,0,0,male,2,2016-2017,0.0,21,22,4
100214,"[4, 3, 2, 1]",4,1,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7804878048780488,0.2926829268292683,82,80121,9.90099778112696,['148'],1,0,1,0,0,male,2,2016-2017,0.0,21,22,4
100225,"[4, 5]",5,4,2,"[2015, 2016, 2017]",3,0,0.7073170731707317,0.2926829268292683,82,80123,9.966794269339156,['373'],1,0,0,0,1,male,2,2016-2017,0.0,21,22,4
100313,"[14, 11, 12, 13]",14,11,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7723577235772358,0.2926829268292683,246,80205,2.1536172516902488,"['102', '146']",2,1,1,0,0,mostly_male,2,2016-2017,0.0,21,22,4
100346,"[22, 21]",22,21,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7560975609756098,0.2926829268292683,41,80112,14.946578233208779,['126'],1,0,1,0,0,male,2,2016-2017,1.0,21,22,4
100390,"[14, 13]",14,13,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7926829268292683,0.2926829268292683,164,80210,5.378061818205583,['142'],1,0,1,0,0,mostly_female,1,2016-2017,1.0,21,22,4
100467,"[3, 4]",4,3,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8902439024390244,0.2926829268292683,82,80121,9.90099778112696,['134'],1,0,1,0,0,male,2,2016-2017,1.0,21,22,4
100555,[18],18,18,1,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7560975609756098,0.2926829268292683,82,80222,6.828016439908511,['353'],1,0,0,0,1,male,2,2016-2017,0.0,21,22,4
100610,"[7, 6]",7,6,2,"[2015, 2016, 2017, 2019]",4,0,0.7621951219512195,0.2926829268292683,164,80112,14.946578233208779,"['363', '140']",2,1,1,0,1,male,2,2016-2017,0.0,21,22,4
100632,"[12, 10, 11, 9]",12,9,4,"[2015, 2016, 2017]",3,0,0.6097560975609756,0.2926829268292683,164,80016,17.5762661692004,['349'],1,0,0,0,1,male,2,2016-2017,1.0,21,22,4
100676,"[4, 5, 6, 3, 13, 16, 15, 14]",16,3,14,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9024390243902439,0.2926829268292683,82,80202,0.41975542715115144,['102'],1,0,1,0,0,female,1,2016-2017,0.0,21,22,4
100687,"[7, 8]",8,7,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.926829268292683,0.2926829268292683,82,80210,5.378061818205583,['258'],1,0,0,1,0,female,1,2016-2017,0.0,21,22,4
100841,"[18, 17]",18,17,2,"[2015, 2016, 2017]",3,0,0.8292682926829268,0.2926829268292683,41,85006,11.042246228688796,['148'],1,0,1,0,0,male,2,2016-2017,0.0,21,22,4
100929,"[1, 2]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7804878048780488,0.2926829268292683,82,80035,11.042246228688796,['331'],1,0,0,0,1,male,2,2016-2017,0.0,21,22,4
100940,"[13, 14]",14,13,2,"[2015, 2016, 2017]",3,0,0.7987804878048781,0.2926829268292683,328,80206,3.333055019510513,['148'],1,0,1,0,0,male,2,2016-2017,0.0,21,22,4
100973,"[1, 2]",2,1,2,"[2015, 2016, 2017, 2018]",4,1,0.5609756097560976,0.2926829268292683,164,80113,7.918425309322313,['126'],1,0,1,0,0,male,2,2016-2017,0.0,21,22,4
101028,"[17, 18]",18,17,2,"[2015, 2016, 2017]",3,0,0.8841463414634146,0.2926829268292683,164,80439,21.16772605271388,"['134', '138']",2,1,1,0,0,unknown,0,2016-2017,0.0,21,22,4
101061,"[11, 12]",12,11,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9390243902439024,0.2926829268292683,164,80108,22.2594855961173,['128'],1,0,1,0,0,male,2,2016-2017,0.0,21,22,4
101336,"[21, 17, 19, 18, 20]",21,17,5,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8292682926829268,0.2926829268292683,164,80246,5.331326750563896,['124'],1,0,1,0,0,male,2,2016-2017,0.0,21,22,4
101347,"[14, 13, 11, 12]",14,11,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8292682926829268,0.2926829268292683,82,80919,56.7726142775064,['146'],1,0,1,0,0,male,2,2016-2017,0.0,21,22,4
101435,"[5, 8, 7, 6]",8,5,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7926829268292683,0.2926829268292683,82,80134,20.424778651846815,['126'],1,0,1,0,0,male,2,2016-2017,0.0,21,22,4
101545,"[10, 11, 1]",11,1,11,"[2015, 2016, 2017]",3,0,0.6463414634146342,0.2926829268292683,82,80216,4.18990540917288,['126'],1,0,1,0,0,male,2,2016-2017,0.0,21,22,4
101611,"[13, 14]",14,13,2,"[2015, 2017]",2,0,0.3902439024390244,0.2926829268292683,82,80224,7.040074186125589,['140'],1,0,1,0,0,male,2,2016-2017,0.0,21,22,4
101710,"[7, 8]",8,7,2,"[2015, 2016, 2017]",3,0,0.9878048780487805,0.2926829268292683,82,80246,5.331326750563896,['116'],1,0,1,0,0,male,2,2016-2017,0.0,21,22,4
101842,[16],16,16,1,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8963414634146342,0.2926829268292683,164,80238,7.13383819617446,['128'],1,0,1,0,0,male,2,2016-2017,0.0,1,22,4
101897,"[15, 2, 4, 3, 1]",15,1,15,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8048780487804879,0.2926829268292683,164,80216,4.18990540917288,['140'],1,0,1,0,0,male,2,2016-2017,0.0,21,22,4
101974,"[1, 2]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.0,0.2926829268292683,82,80202,0.41975542715115144,['342'],1,0,0,0,1,male,2,2016-2017,0.0,21,22,4
102095,"[17, 18, 1, 2, 8, 9]",18,1,18,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8902439024390244,0.2926829268292683,82,80007,14.058374835469158,['140'],1,0,1,0,0,male,2,2016-2017,1.0,21,22,4
102117,"[16, 15]",16,15,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8292682926829268,0.2926829268292683,82,80033,5.12969523409558,['301'],1,0,0,0,1,male,2,2016-2017,0.0,21,22,4
102238,"[14, 13]",14,13,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7682926829268293,0.2926829268292683,246,80202,0.41975542715115144,"['140', '144']",2,1,1,0,0,male,2,2016-2017,0.0,21,22,4
102315,"[2, 1]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.823170731707317,0.2926829268292683,164,80228,8.595264794725352,['361'],1,0,0,0,1,male,2,2016-2017,0.0,21,22,4
102326,"[4, 2, 3, 1]",4,1,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.6829268292682927,0.2926829268292683,82,80220,5.361284577121255,['130'],1,0,1,0,0,female,1,2016-2017,0.0,21,22,4
102403,"[3, 1, 4, 2]",4,1,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.6158536585365854,0.2926829268292683,164,80202,0.41975542715115144,['128'],1,0,1,0,0,male,2,2016-2017,0.0,21,22,4
102623,"[14, 13, 12, 15, 4, 3, 2, 1, 6, 5, 7, 8]",15,1,15,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8902439024390244,0.2926829268292683,82,80031,9.220153881283842,['341'],1,0,0,0,1,male,2,2016-2017,0.0,21,22,4
102667,[1],1,1,1,"[2015, 2016, 2017]",3,0,0.9024390243902439,0.2926829268292683,82,80107,36.241129551477755,['254'],1,0,0,1,0,male,2,2016-2017,0.0,21,22,4
102689,"[14, 13]",14,13,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.6341463414634146,0.2926829268292683,82,80118,38.288878587799026,['343'],1,0,0,0,1,male,2,2016-2017,0.0,21,22,4
102788,"[9, 8, 6, 7]",9,6,4,"[2015, 2016, 2017]",3,0,0.8902439024390244,0.2926829268292683,82,80228,8.595264794725352,['242'],1,0,0,1,0,male,2,2016-2017,0.0,21,22,4
102799,"[13, 16, 14, 15]",16,13,4,"[2015, 2017, 2018]",3,1,0.8414634146341463,0.2926829268292683,82,80015,15.03846554361427,['374'],1,0,0,0,1,male,2,2016-2017,0.0,21,22,4
102887,"[4, 5, 6]",6,4,3,"[2015, 2016, 2017]",3,0,0.6829268292682927,0.2926829268292683,41,80016,17.5762661692004,['343'],1,0,0,0,1,female,1,2016-2017,0.0,21,22,4
103118,"[8, 11, 10, 9]",11,8,4,"[2015, 2016, 2017]",3,0,0.926829268292683,0.2926829268292683,41,80111,10.996835490559503,['146'],1,0,1,0,0,male,2,2016-2017,0.0,21,22,4
103217,"[1, 2]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7804878048780488,0.2926829268292683,41,80401,10.78147262646119,['373'],1,0,0,0,1,male,2,2016-2017,0.0,21,22,4
103690,"[2, 1]",2,1,2,"[2015, 2016, 2017]",3,0,0.7926829268292683,0.2926829268292683,82,80302,31.963969593706288,['148'],1,0,1,0,0,mostly_male,2,2016-2017,0.0,21,22,4
