contact_id,seats,seat_end,seat_start,number_seats,years,num_years,renewed,attendance,performance,tix_num,zip,distance,section,num_sections,multiple_sections,lower_level,club_level,upper_level,gender,gender_num,season_year,paid_in_full,tenure,wins,ot_losses
100093,"[2, 1]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9031007751937985,0.5,258,80204,0.8884784617602121,['142'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
100159,"[6, 7, 8]",8,6,3,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8488372093023255,0.5,86,80014,10.395682635516573,['102'],1,0,1,0,0,unknown,0,2015-2016,0.0,20,39,4
100203,"[9, 10, 7, 8, 18, 17]",18,7,12,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7674418604651163,0.5,86,80111,10.996835490559503,['126'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
100214,"[17, 2, 18, 1]",18,1,18,"[2015, 2016]",2,0,0.3372093023255814,0.5,86,80121,9.90099778112696,['148'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
100225,"[4, 3, 1, 2]",4,1,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9767441860465116,0.5,86,80123,9.966794269339156,['373'],1,0,0,0,1,male,2,2015-2016,0.0,20,39,4
100313,"[10, 9]",10,9,2,"[2015, 2016]",2,0,0.8062015503875969,0.5,258,80205,2.1536172516902488,"['102', '146']",2,1,1,0,0,mostly_male,2,2015-2016,0.0,20,39,4
100346,[10],10,10,1,"[2015, 2016, 2018, 2019]",4,0,0.8837209302325582,0.5,43,80112,14.946578233208779,['126'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
100390,"[15, 16]",16,15,2,"[2015, 2016, 2017]",3,1,0.32558139534883723,0.5,172,80210,5.378061818205583,['142'],1,0,1,0,0,mostly_female,1,2015-2016,0.0,20,39,4
100467,"[9, 10]",10,9,2,"[2015, 2016]",2,0,0.8837209302325582,0.5,86,80121,9.90099778112696,['134'],1,0,1,0,0,male,2,2015-2016,1.0,20,39,4
100555,"[4, 3, 2, 1]",4,1,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.6976744186046512,0.5,86,80222,6.828016439908511,['353'],1,0,0,0,1,male,2,2015-2016,0.0,20,39,4
100610,"[3, 4]",4,3,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.6511627906976745,0.5,172,80112,14.946578233208779,"['140', '363']",2,1,1,0,1,male,2,2015-2016,0.0,20,39,4
100632,"[13, 14]",14,13,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7732558139534884,0.5,172,80016,17.5762661692004,['349'],1,0,0,0,1,male,2,2015-2016,1.0,20,39,4
100676,"[1, 2, 4, 3]",4,1,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9767441860465116,0.5,86,80202,0.41975542715115144,['102'],1,0,1,0,0,female,1,2015-2016,0.0,20,39,4
100687,[4],4,4,1,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9418604651162791,0.5,86,80210,5.378061818205583,['258'],1,0,0,1,0,female,1,2015-2016,0.0,20,39,4
100841,"[15, 16]",16,15,2,"[2015, 2016, 2017, 2019]",4,1,0.8604651162790697,0.5,43,85006,11.042246228688796,['148'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
100929,"[12, 11, 10, 9]",12,9,4,"[2015, 2016, 2017]",3,1,0.6511627906976745,0.5,43,80035,11.042246228688796,['331'],1,0,0,0,1,male,2,2015-2016,0.0,20,39,4
100940,"[6, 3, 4, 5, 15, 16, 13, 14]",16,3,14,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8081395348837209,0.5,344,80206,3.333055019510513,['148'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
100973,"[7, 8]",8,7,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7906976744186046,0.5,172,80113,7.918425309322313,['126'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
101028,"[18, 17]",18,17,2,"[2015, 2016, 2017]",3,1,0.8953488372093024,0.5,172,80439,21.16772605271388,"['134', '138']",2,1,1,0,0,unknown,0,2015-2016,0.0,20,39,4
101061,"[1, 2]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9244186046511628,0.5,172,80108,22.2594855961173,['128'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
101127,"[13, 14]",14,13,2,"[2015, 2016, 2017]",3,1,0.627906976744186,0.5,86,80134,20.424778651846815,['136'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
101336,"[14, 15]",15,14,2,"[2015, 2016, 2017, 2018]",4,1,0.872093023255814,0.5,172,80246,5.331326750563896,['124'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
101347,"[15, 16]",16,15,2,"[2015, 2016, 2017]",3,1,0.8604651162790697,0.5,86,80919,56.7726142775064,['146'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
101435,"[11, 12]",12,11,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9186046511627907,0.5,86,80134,20.424778651846815,['126'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
101545,"[21, 17, 19, 20, 18]",21,17,5,"[2015, 2016, 2017, 2018, 2019]",5,1,0.3488372093023256,0.5,86,80216,4.18990540917288,['126'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
101611,"[20, 19, 2, 1]",20,1,20,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7093023255813954,0.5,86,80224,7.040074186125589,['140'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
101710,"[5, 6]",6,5,2,"[2015, 2016]",2,0,0.4186046511627907,0.5,86,80246,5.331326750563896,['110'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
101897,"[5, 6, 7, 8]",8,5,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8197674418604651,0.5,172,80216,4.18990540917288,['140'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
101974,"[11, 1, 10, 2]",11,1,11,"[2015, 2016, 2017]",3,1,0.0,0.5,86,80202,0.41975542715115144,['342'],1,0,0,0,1,male,2,2015-2016,0.0,20,39,4
102095,"[8, 7]",8,7,2,"[2015, 2016, 2017]",3,1,0.9418604651162791,0.5,86,80007,14.058374835469158,['140'],1,0,1,0,0,male,2,2015-2016,1.0,20,39,4
102117,[16],16,16,1,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9767441860465116,0.5,86,80033,5.12969523409558,['301'],1,0,0,0,1,male,2,2015-2016,0.0,20,39,4
102238,"[15, 1, 2]",15,1,15,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8798449612403101,0.5,258,80202,0.41975542715115144,"['140', '146']",2,1,1,0,0,male,2,2015-2016,0.0,20,39,4
102304,"[1, 11]",11,1,11,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7383720930232558,0.5,172,80701,71.2667993797948,['126'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
102315,"[5, 6]",6,5,2,"[2015, 2016]",2,0,0.8488372093023255,0.5,172,80228,8.595264794725352,['361'],1,0,0,0,1,male,2,2015-2016,0.0,20,39,4
102326,"[17, 18, 1, 2, 8, 9]",18,1,18,"[2015, 2016, 2017, 2018, 2019]",5,1,0.5813953488372093,0.5,86,80220,5.361284577121255,['130'],1,0,1,0,0,female,1,2015-2016,0.0,20,39,4
102403,"[16, 15]",16,15,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.622093023255814,0.5,172,80202,0.41975542715115144,['128'],1,0,1,0,0,male,2,2015-2016,1.0,20,39,4
102623,"[14, 13]",14,13,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.3488372093023256,0.5,86,80031,9.220153881283842,['341'],1,0,0,0,1,male,2,2015-2016,0.0,20,39,4
102667,"[2, 1]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7906976744186046,0.5,86,80107,36.241129551477755,['102'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
102689,"[1, 3, 4, 2]",4,1,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8488372093023255,0.5,86,80118,38.288878587799026,['343'],1,0,0,0,1,male,2,2015-2016,0.0,20,39,4
102788,"[2, 1, 3, 4]",4,1,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8837209302325582,0.5,86,80228,8.595264794725352,['242'],1,0,0,1,0,male,2,2015-2016,0.0,20,39,4
102799,"[11, 14, 13, 12, 2, 1, 6, 7, 3, 5, 4, 8]",14,1,14,"[2015, 2016, 2017, 2018, 2019]",5,1,0.813953488372093,0.5,86,80015,15.03846554361427,['374'],1,0,0,0,1,male,2,2015-2016,0.0,20,39,4
102887,"[1, 2]",2,1,2,"[2015, 2016, 2017]",3,1,0.7558139534883721,0.5,86,80016,17.5762661692004,['345'],1,0,0,0,1,female,1,2015-2016,0.0,20,39,4
103118,"[13, 14]",14,13,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8837209302325582,0.5,43,80111,10.996835490559503,['146'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
103217,"[7, 9, 8, 6]",9,6,4,"[2015, 2016, 2017]",3,1,0.813953488372093,0.5,43,80401,10.78147262646119,['373'],1,0,0,0,1,male,2,2015-2016,0.0,20,39,4
103690,"[5, 4, 6]",6,4,3,"[2015, 2016, 2017]",3,1,0.4941860465116279,0.5,172,80302,31.963969593706288,"['146', '148']",2,1,1,0,0,mostly_male,2,2015-2016,0.0,20,39,4
103734,"[9, 10, 11, 8]",11,8,4,"[2015, 2016, 2017]",3,1,0.27906976744186046,0.5,86,80109,31.485202911337495,['362'],1,0,0,0,1,male,2,2015-2016,0.0,20,39,4
103789,"[1, 2]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9186046511627907,0.5,86,80237,9.129757048485972,['126'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
103800,"[1, 2]",2,1,2,"[2015, 2016, 2017]",3,1,0.8953488372093024,0.5,86,80241,12.76289518329032,['339'],1,0,0,0,1,male,2,2015-2016,0.0,20,39,4
103811,"[17, 18]",18,17,2,"[2015, 2016, 2017]",3,1,0.813953488372093,0.5,172,80111,10.996835490559503,['116'],1,0,1,0,0,unknown,0,2015-2016,0.0,20,39,4
103932,"[5, 6, 18, 17]",18,5,14,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8575581395348837,0.5,344,80206,3.333055019510513,"['134', '128']",2,1,1,0,0,female,1,2015-2016,1.0,20,39,4
104119,"[4, 3, 2, 1]",4,1,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8837209302325582,0.5,86,80215,5.481319496835096,['146'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
104372,"[13, 14]",14,13,2,"[2015, 2016, 2017]",3,1,0.7093023255813954,0.5,172,80216,4.18990540917288,['126'],1,0,1,0,0,male,2,2015-2016,1.0,20,39,4
104460,"[16, 17, 14, 15]",17,14,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9302325581395349,0.5,86,80209,3.0505548451860673,['104'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
104493,"[1, 2, 11, 12, 14, 13]",14,1,14,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9186046511627907,0.5,172,80401,10.78147262646119,['124'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
104526,"[19, 18]",19,18,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9162790697674419,0.5,1290,80238,7.13383819617446,"['110', '116', '122', '322', '362', '380']",6,1,1,0,1,male,2,2015-2016,0.0,20,39,4
104548,"[14, 13]",14,13,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.627906976744186,0.5,43,80202,0.41975542715115144,['144'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
104603,"[1, 2]",2,1,2,"[2015, 2016, 2017]",3,1,0.6976744186046512,0.5,86,80202,0.41975542715115144,['148'],1,0,1,0,0,male,2,2015-2016,1.0,20,39,4
104658,"[17, 18]",18,17,2,"[2015, 2016, 2017]",3,1,0.6337209302325582,0.5,172,80112,14.946578233208779,['136'],1,0,1,0,0,unknown,0,2015-2016,0.0,20,39,4
104900,"[7, 5, 6, 8]",8,5,4,"[2015, 2016, 2017]",3,1,0.8604651162790697,0.5,43,80305,20.846660846024445,['373'],1,0,0,0,1,male,2,2015-2016,0.0,20,39,4
104966,[2],2,2,1,"[2015, 2016, 2017]",3,1,0.8953488372093024,0.5,86,80226,5.133145076472918,['124'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
105021,"[2, 1]",2,1,2,"[2015, 2016]",2,0,0.7325581395348837,0.5,86,80211,1.0182225067584003,['146'],1,0,1,0,0,male,2,2015-2016,0.0,20,39,4
105131,"[2, 1]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7558139534883721,0.5,86,80120,10.259521635132941,['379'],1,0,0,0,1,unknown,0,2015-2016,0.0,20,39,4
