id,seats,seat_end,seat_start,number_seats,years,num_years,renewed,attendance,performance,tix_num,zip,distance,sections,num_sections,multiple_sections,lower_level,club_level,upper_level,gender,gender_num,date
125415,"[10, 12, 11, 9]",12,9,4,"[2015, 2016, 2017]",3,1,0.877906976744186,0.5487804878048781,172,80007,14.058374835469158,['102'],1,0,1,0,0,male,2,2015
2301069,"[4, 5, 3, 6, 16, 15, 13, 14]",16,3,14,"[2015, 2016, 2017, 2018, 2019]",5,1,0.6802325581395349,0.5487804878048781,344,28255,11.042246228688796,['102' '122'],2,1,1,0,0,mostly_female,1,2015
258376,"[7, 8]",8,7,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8372093023255814,0.5487804878048781,86,80204,0.8884784617602121,['102'],1,0,1,0,0,male,2,2015
105945,"[18, 17]",18,17,2,"[2015, 2016, 2017]",3,1,0.9418604651162791,0.5487804878048781,86,80220,5.361284577121255,['102'],1,0,1,0,0,male,2,2015
134721,"[1, 2]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9767441860465116,0.5487804878048781,86,80223,4.0704606158323955,['102'],1,0,1,0,0,female,1,2015
9257996,"[13, 14]",14,13,2,"[2015, 2016, 2017]",3,1,0.6511627906976745,0.5487804878048781,86,80621,26.630174459325882,['102'],1,0,1,0,0,female,1,2015
124128,"[17, 18]",18,17,2,"[2015, 2016, 2017, 2018]",4,1,0.6046511627906976,0.5487804878048781,86,80239,9.18630052442532,['104'],1,0,1,0,0,mostly_male,2,2015
192039,"[2, 1]",2,1,2,"[2015, 2016, 2017]",3,1,0.8604651162790697,0.5487804878048781,86,80202,0.41975542715115144,['110'],1,0,1,0,0,male,2,2015
133896,"[11, 12]",12,11,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7093023255813954,0.5487804878048781,86,80215,5.481319496835096,['114'],1,0,1,0,0,female,1,2015
108970,"[20, 18, 19, 17, 21]",21,17,5,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7441860465116279,0.5487804878048781,215,80210,5.378061818205583,['106'],1,0,1,0,0,male,2,2015
1659086,"[20, 19, 2, 1]",20,1,20,"[2015, 2016, 2017, 2018, 2019]",5,1,0.563953488372093,0.5487804878048781,172,80111,10.996835490559503,['116' '322'],2,1,1,0,1,male,2,2015
1534872,"[11, 10]",11,10,2,"[2015, 2016]",2,1,0.8837209302325582,0.5487804878048781,86,80112,14.946578233208779,['116'],1,0,1,0,0,andy,0,2015
306571,"[6, 5, 7, 8]",8,5,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9069767441860465,0.5487804878048781,172,80221,4.920592092262844,['118'],1,0,1,0,0,female,1,2015
447805,"[10, 11, 2, 1]",11,1,11,"[2015, 2016, 2017]",3,1,0.8023255813953488,0.5487804878048781,172,80017,12.58718789754235,['112' '114'],2,1,1,0,0,andy,0,2015
9264016,"[10, 11]",11,10,2,"[2015, 2017]",2,0,0.0,0.5487804878048781,86,80126,15.398682485744569,['112'],1,0,1,0,0,male,2,2015
121037,"[10, 9]",10,9,2,"[2015, 2016, 2017]",3,1,0.9883720930232558,0.5487804878048781,86,80621,26.630174459325882,['104'],1,0,1,0,0,male,2,2015
176447,[16],16,16,1,"[2015, 2016, 2017, 2018, 2019]",5,1,0.6744186046511628,0.5487804878048781,43,80111,10.996835490559503,['102'],1,0,1,0,0,male,2,2015
