id,seats,seat_end,seat_start,number_seats,years,num_years,renewed,attendance,performance,tix_num,zip,distance,sections,num_sections,multiple_sections,lower_level,club_level,upper_level,gender,gender_num,date
139671,"[6, 5, 2, 1]",6,1,6,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8625,0.5792682926829268,160,80123,9.966794269339156,['102'],1,0,1,0,0,male,2,2018
100313,"[17, 18]",18,17,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9,0.5792682926829268,80,80205,2.1536172516902488,['102'],1,0,1,0,0,mostly_male,2,2018
141112,"[9, 8, 10, 7]",10,7,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.78125,0.5792682926829268,160,80227,7.851124877617673,['110'],1,0,1,0,0,female,1,2018
27844874,"[4, 3]",4,3,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.85,0.5792682926829268,160,80126,15.398682485744569,['110'],1,0,1,0,0,mostly_female,1,2018
211508,[9],9,9,1,"[2015, 2016, 2018, 2019]",4,1,0.9715909090909091,0.5792682926829268,176,80021,12.027042541896941,['116' '140' '142' '124'],4,1,1,0,0,female,1,2018
1972625,"[14, 13, 15, 16]",16,13,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.975,0.5792682926829268,80,80634,46.265021417466286,['106'],1,0,1,0,0,female,1,2018
1542773,"[22, 21, 14, 11, 12, 13]",22,11,12,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9,0.5792682926829268,40,80212,2.689336784082861,['106'],1,0,1,0,0,male,2,2018
356741,"[16, 15]",16,15,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.4567901234567901,0.5792682926829268,81,80129,14.398627110237644,['106' '120'],2,1,1,0,0,male,2,2018
9182719,"[3, 4]",4,3,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9383116883116883,0.5792682926829268,308,87199,11.042246228688796,['114' '108' '118' '318' '310'],5,1,1,0,1,male,2,2018
8239001,[18],18,18,1,"[2015, 2016, 2017, 2018, 2019]",5,1,0.5952380952380952,0.5792682926829268,84,80206,3.333055019510513,['102'],1,0,1,0,0,female,1,2018
2301069,"[5, 3, 4, 6, 15, 16, 13, 14]",16,3,14,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8625,0.5792682926829268,320,28255,11.042246228688796,['102' '122'],2,1,1,0,0,mostly_female,1,2018
258376,"[8, 7]",8,7,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.875,0.5792682926829268,80,80204,0.8884784617602121,['102'],1,0,1,0,0,male,2,2018
