id,seats,seat_end,seat_start,number_seats,years,num_years,renewed,attendance,performance,tix_num,zip,distance,sections,num_sections,multiple_sections,lower_level,club_level,upper_level,gender,gender_num,date
46844854,"[1, 2]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.6304347826086957,0.2926829268292683,46,80033,5.12969523409558,['335'],1,0,0,0,1,male,2,2017
9174016,"[18, 17]",18,17,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7233009708737864,0.2926829268292683,824,0,11.042246228688796,['128' '146' '104' '220'],4,1,1,1,0,female,1,2017
21085729,"[9, 8, 7, 10, 24, 25]",25,7,19,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9140625,0.2926829268292683,128,80602,15.476016064492825,['224' '252' '313'],3,1,0,1,1,unknown,0,2017
31479871,"[4, 3, 2, 1]",4,1,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9024390243902439,0.2926829268292683,41,80033,5.12969523409558,['364' '372'],2,1,0,0,1,male,2,2017
30984879,"[4, 5]",5,4,2,"[2015, 2016, 2017]",3,0,0.6463414634146342,0.2926829268292683,82,80221,4.920592092262844,['352' '356' '368' '348'],4,1,0,0,1,male,2,2017
122555,"[14, 11, 12, 13]",14,11,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9583333333333334,0.2926829268292683,168,80210,5.378061818205583,['144' '134' '122'],3,1,1,0,0,male,2,2017
3314210,"[22, 21]",22,21,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.4,0.2926829268292683,10,80401,10.78147262646119,['126'],1,0,1,0,0,male,2,2017
4812180,"[14, 13]",14,13,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.823170731707317,0.2926829268292683,164,80237,9.129757048485972,['372' '374' '138' '376'],4,1,1,0,1,male,2,2017
14519060,"[3, 4]",4,3,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.3076923076923077,0.2926829268292683,26,80113,7.918425309322313,['360'],1,0,0,0,1,female,1,2017
21101049,[18],18,18,1,"[2015, 2016, 2017, 2018, 2019]",5,1,0.35714285714285715,0.2926829268292683,56,82009,11.042246228688796,['134' '214' '220'],3,1,1,1,0,mostly_female,1,2017
125118,"[7, 6]",7,6,2,"[2015, 2016, 2017, 2019]",4,0,0.9024390243902439,0.2926829268292683,82,80202,0.41975542715115144,['144' '134'],2,1,1,0,0,male,2,2017
7044065,"[12, 10, 11, 9]",12,9,4,"[2015, 2016, 2017]",3,0,0.8181818181818182,0.2926829268292683,88,80527,11.042246228688796,['132' '130' '144'],3,1,1,0,0,male,2,2017
47397451,"[4, 5, 6, 3, 13, 16, 15, 14]",16,3,14,"[2015, 2016, 2017, 2018, 2019]",5,1,1.0,0.2926829268292683,2,80136,37.840557603000434,['124'],1,0,1,0,0,male,2,2017
481671,"[7, 8]",8,7,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.926829268292683,0.2926829268292683,82,80439,21.16772605271388,['140'],1,0,1,0,0,male,2,2017
45020204,"[18, 17]",18,17,2,"[2015, 2016, 2017]",3,0,1.0,0.2926829268292683,7,80203,1.9598825651602167,['358'],1,0,0,0,1,female,1,2017
1685611,"[1, 2]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8353658536585366,0.2926829268292683,164,80011,11.666789861531875,['108'],1,0,1,0,0,male,2,2017
21007026,"[13, 14]",14,13,2,"[2015, 2016, 2017]",3,0,0.5,0.2926829268292683,82,80016,17.5762661692004,['224'],1,0,0,1,0,male,2,2017
38569876,"[1, 2]",2,1,2,"[2015, 2016, 2017, 2018]",4,1,0.7560975609756098,0.2926829268292683,82,80238,7.13383819617446,['110'],1,0,1,0,0,male,2,2017
34569851,"[17, 18]",18,17,2,"[2015, 2016, 2017]",3,0,0.3076923076923077,0.2926829268292683,52,80209,3.0505548451860673,['114'],1,0,1,0,0,male,2,2017
9424568,"[11, 12]",12,11,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7317073170731707,0.2926829268292683,82,80211,1.0182225067584003,['110'],1,0,1,0,0,male,2,2017
1779080,"[21, 17, 19, 18, 20]",21,17,5,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8717948717948718,0.2926829268292683,78,80401,10.78147262646119,['116'],1,0,1,0,0,male,2,2017
105340,"[14, 13, 11, 12]",14,11,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9146341463414634,0.2926829268292683,82,80222,6.828016439908511,['102'],1,0,1,0,0,male,2,2017
35354984,"[5, 8, 7, 6]",8,5,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8963414634146342,0.2926829268292683,164,80020,12.428208615782568,['116'],1,0,1,0,0,male,2,2017
1694288,"[10, 11, 1]",11,1,11,"[2015, 2016, 2017]",3,0,0.47619047619047616,0.2926829268292683,42,81140,11.042246228688796,['368' '362'],2,1,0,0,1,male,2,2017
9239498,"[13, 14]",14,13,2,"[2015, 2017]",2,0,0.8780487804878049,0.2926829268292683,82,80921,51.97091242945378,['104'],1,0,1,0,0,male,2,2017
19454071,"[7, 8]",8,7,2,"[2015, 2016, 2017]",3,0,0.926829268292683,0.2926829268292683,82,80206,3.333055019510513,['102'],1,0,1,0,0,female,1,2017
45229875,[16],16,16,1,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7134146341463414,0.2926829268292683,164,80247,7.9176443614549346,['102'],1,0,1,0,0,unknown,0,2017
457358,"[15, 2, 4, 3, 1]",15,1,15,"[2015, 2016, 2017, 2018, 2019]",5,1,0.5121951219512195,0.2926829268292683,82,80113,7.918425309322313,['102'],1,0,1,0,0,male,2,2017
100313,"[1, 2]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7723577235772358,0.2926829268292683,246,80205,2.1536172516902488,['102' '146'],2,1,1,0,0,mostly_male,2,2017
1972625,"[17, 18, 1, 2, 8, 9]",18,1,18,"[2015, 2016, 2017, 2018, 2019]",5,1,0.9512195121951219,0.2926829268292683,82,80634,46.265021417466286,['106'],1,0,1,0,0,female,1,2017
27844874,"[16, 15]",16,15,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7012195121951219,0.2926829268292683,164,80126,15.398682485744569,['110'],1,0,1,0,0,mostly_female,1,2017
21629962,"[14, 13]",14,13,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.6707317073170732,0.2926829268292683,82,80210,5.378061818205583,['106'],1,0,1,0,0,male,2,2017
141112,"[2, 1]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.5853658536585366,0.2926829268292683,164,80227,7.851124877617673,['110'],1,0,1,0,0,female,1,2017
211508,"[4, 2, 3, 1]",4,1,4,"[2015, 2016, 2017, 2018, 2019]",5,1,1.0,0.2926829268292683,164,80021,12.027042541896941,['116'],1,0,1,0,0,female,1,2017
1542773,"[3, 1, 4, 2]",4,1,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.7804878048780488,0.2926829268292683,41,80212,2.689336784082861,['106'],1,0,1,0,0,male,2,2017
44994934,"[14, 13, 12, 15, 4, 3, 2, 1, 6, 5, 7, 8]",15,1,15,"[2015, 2016, 2017, 2018, 2019]",5,1,1.0,0.2926829268292683,82,80642,32.50320587434979,['110'],1,0,1,0,0,female,1,2017
9182719,[1],1,1,1,"[2015, 2016, 2017]",3,0,0.9560975609756097,0.2926829268292683,205,87199,11.042246228688796,['114'],1,0,1,0,0,male,2,2017
